,Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb
7,R Ashwin,c †Dhoni b Ngidi,0,1,0,0,0,1,4,0,36,2,9,5,1,2,1,0
8,AJ Tye,c Raina b Ngidi,0,2,0,0,0,1,4,0,47,0,11.75,6,4,2,5,0
9,MM Sharma,not out,2,3,0,0,66.66,1,3.1,0,28,1,8.84,7,3,1,1,0
10,AS Rajpoot,c du Plessis b Thakur,2,4,0,0,50,1,4,1,19,2,4.75,18,2,1,0,1
11,AT Rayudu,c †Rahul b Sharma,1,3,0,0,33.33,2,,,,,,,,,,
12,F du Plessis,c Gayle b Rajpoot,14,15,3,0,93.33,2,,,,,,,,,,
13,SK Raina,not out,61,48,4,2,127.08,2,,,,,,,,,,
14,SW Billings,b Rajpoot,0,1,0,0,0,2,,,,,,,,,,
15,Harbhajan Singh,lbw b Ashwin,19,22,2,1,86.36,2,1,0,13,0,13,1,1,1,0,0
16,DL Chahar,c Sharma b Ashwin,39,20,1,3,195,2,4,0,30,1,7.5,12,3,1,2,1
17,MS Dhoni,not out,16,7,1,1,228.57,2,,,,,,,,,,
18,DJ Bravo,DNB,0,0,0,0,0,2,4,0,39,2,9.75,7,2,3,0,0
19,RA Jadeja,DNB,0,0,0,0,0,2,3,0,23,1,7.66,5,0,2,0,0
20,SN Thakur,DNB,0,0,0,0,0,2,3.4,0,33,2,9,9,3,1,2,0
21,L Ngidi,DNB,0,0,0,0,0,2,4,1,10,4,2.5,16,0,0,1,0
0,RG Sharma,c Rayudu b Watson,15,18,1,1,83.33,1,,,,,,,,,,
1,E Lewis,lbw b Chahar,0,2,0,0,0,1,,,,,,,,,,
2,Ishan Kishan,c Wood b Imran Tahir,40,29,4,1,137.93,1,,,,,,,,,,
3,SA Yadav,c Harbhajan Singh b Watson,43,29,6,1,148.27,1,,,,,,,,,,
4,HH Pandya,not out,22,20,2,0,110,1,4,0,24,3,6,12,1,1,3,0
5,KH Pandya,not out,41,22,5,2,186.36,1,,,,,,,,,,
6,SR Watson,c Lewis b HH Pandya,16,14,1,1,114.28,2,4,0,29,2,7.25,12,1,2,1,0
7,AT Rayudu,lbw b Markande,22,19,4,0,115.78,2,,,,,,,,,,
8,SK Raina,c KH Pandya b HH Pandya,4,6,0,0,66.66,2,,,,,,,,,,
9,KM Jadhav,not out,24,22,1,2,109.09,2,,,,,,,,,,
10,MS Dhoni,lbw b Markande,5,5,0,0,100,2,,,,,,,,,,
11,RA Jadeja,c Yadav b Mustafizur Rahman,12,13,1,0,92.3,2,1,0,9,0,9,3,2,0,0,0
12,DJ Bravo,c Sharma b Bumrah,68,30,3,7,226.66,2,4,0,25,0,6.25,9,3,0,0,0
13,DL Chahar,st †Ishan Kishan b Markande,0,1,0,0,0,2,3,0,14,1,4.66,12,2,0,0,0
14,Harbhajan Singh,c Bumrah b McClenaghan,8,5,1,0,160,2,2,0,14,0,7,3,1,0,0,0
